What is the capital of England?,London,Cardiff,Paris,Sydney
How many eggs in a baker's dozen?,13,14,11,12
What year did England win the mens football world cup?,1966,1970,1958,1962
What state is Cairns in?,Queensland,New South Wales,Victoria,South Australia
Which car manufacterer is based in South Korea?,Kia,Ford,Holden,Toyota
In which continent is Brazil?,South America,North America,Europe,Asia
Light moves faster than sound?,1,0,,
What country has the highest life expectancy?,Hong Kong,Japan,UK,South Africa
Where would you be if you were standing on the Spanish Steps?,Rome,Paris,Madrid,London
Which language has the more native speakers: English or Spanish?,Spanish,English,,
What is the most common surname in the United States?,Smith,Barns,Jones,Spencer
What disease commonly spread on pirate ships?,Scurvy,The common cold,Flu,Covid
Who was the Ancient Greek God of the Sun?,Apollo,Zeus,,
What was the name of the crime boss who was head of the feared Chicago Outfit?,Al Capone,Al Malone,Al Baloon,Al Carphone
What year was the United Nations established?,1945,1940,1950,1955
Who has won the most total Academy Awards?,Walt Disney,Warner Brothers,Meryl Streep,Tom Hanks
What artist has the most streams on Spotify?,Drake,Britney Spears,Red Hot Chilli Peppers,Sam Smith
How many minutes are in a full week,10080,3600,7200,180020
What car manufacturer had the highest revenue in 2020?,Volkswagen,Ford,Toyota,Kia
How many elements are in the periodic table?,118,99,138,158
"What company was originally called ""Cadabra""?",Amazon,Apple,Oracle,IBM
How many faces does a Dodecahedron have?,12,10,8,6
Queen guitarist Brian May is also an expert in what scientific field?,Astrophysics,Biology,Computing,Chemistry
Aureolin is a shade of what color?,Yellow,Blue,Red,Green
How many ghosts chase Pac-Man at the start of each game?,4,3,5,6
What Renaissance artist is buried in Rome's Pantheon?,Raphael,Leonardo,Michelangelo,Donatello
"What shoe brand makes the ""Mexico 66""?",Onitsuka Tiger,Adidas,Nike,Rebok
What game studio makes the Red Dead Redemption series?,Rockstar Games,EA,Punk Games,Ninja Games
Who was the last Tsar of Russia?,Nicholas II?,Nicholas III?,Nicholas I?,Nicholas IV
What character have both Robert Downey Jr. and Benedict Cumberbatch played?,Sherlock Holmes,James Bond,Doctor Strange,Iron Man
What country drinks the most coffee per capita?,Finland,Belgium,Sweden,France
Which planet in the Milky Way is the hottest?,Venus,Mercury,Pluto,Mars
What is the 4th letter of the Greek alphabet?,Delta,Alpha,Beta,Gamma
What sports car company manufactures the 911?,Porsche,Ferarri,Kia,Ford
"What city is known as ""The Eternal City""?",Rome,Sydney,Perth,Newcastle
"Roald Amundsen was the first man to reach the South Pole, but where was he from?",Norway,Egypt,Peru,Bolivia
"What is the highest-rated film on IMDb as of January 1st, 2022?",The Shawshank Redemption,Paw Patrol 2,Top Gun,The Godfather
Who discovered that the earth revolves around the sun?,Nicolaus Copernicus,Albert Einstein,Isac Newton,Alexander Graham Bell
"What company was initially known as ""Blue Ribbon Sports""?",Nike,Rebok,Adidas,Puma
"What art form is described as ""decorative handwriting or handwritten lettering""?",Calligraphy,Stenography,Origami,
Which planet has the most moons?,Saturn,Jupiter,Earth,Mars
What country has won the most World Cups?,Brazil,Argentina,Germany,Australia
